match_date,team_1,team_2,team_win,coef_1,coef_x,coef_2,coef_win,score
15-05-2016,Betis,Getafe,Betis,3.49,3.73,2.06,3.49,2:1
15-05-2016,Gijon,Villarreal,Gijon,1.50,4.64,6.31,1.50,2:0
15-05-2016,Rayo Vallecano,Levante,Rayo Vallecano,1.36,5.77,7.60,1.36,3:1
15-05-2016,Espanyol,Eibar,Espanyol,2.05,3.68,3.75,2.05,4:2
15-05-2016,Malaga,Las Palmas,Malaga,1.69,3.94,5.17,1.69,4:1
14-05-2016,Ath Bilbao,Sevilla,Ath Bilbao,1.35,5.55,8.15,1.35,3:1
14-05-2016,Atl. Madrid,Celta Vigo,Atl. Madrid,1.59,4.15,5.95,1.59,2:0
14-05-2016,Dep. La Coruna,Real Madrid,Real Madrid,13.23,8.23,1.19,1.19,0:2
14-05-2016,Granada CF,Barcelona,Barcelona,25.56,12.33,1.09,1.09,0:3
13-05-2016,Valencia,Real Sociedad,Real Sociedad,2.03,3.69,3.59,3.59,0:1
08-05-2016,Barcelona,Espanyol,Barcelona,1.05,18.95,36.37,1.05,5:0
08-05-2016,Celta Vigo,Malaga,Celta Vigo,1.63,4.16,5.43,1.63,1:0
08-05-2016,Eibar,Betis,,2.17,3.45,3.48,3.45,1:1
08-05-2016,Getafe,Gijon,,2.04,3.57,3.73,3.57,1:1
08-05-2016,Levante,Atl. Madrid,Levante,15.89,5.83,1.24,15.89,2:1
08-05-2016,Real Madrid,Valencia,Real Madrid,1.23,7.38,12.64,1.23,3:2
08-05-2016,Real Sociedad,Rayo Vallecano,Real Sociedad,2.72,3.60,2.52,2.72,2:1
08-05-2016,Sevilla,Granada CF,Granada CF,2.96,4.00,2.21,2.21,1:4
08-05-2016,Las Palmas,Ath Bilbao,,3.99,3.71,1.92,3.71,0:0
08-05-2016,Villarreal,Dep. La Coruna,Dep. La Coruna,2.50,3.25,3.13,3.13,0:2
02-05-2016,Malaga,Levante,Malaga,1.87,3.58,4.42,1.87,3:1
01-05-2016,Valencia,Villarreal,Villarreal,1.95,3.55,4.07,4.07,0:2
01-05-2016,Dep. La Coruna,Getafe,Getafe,2.07,3.60,3.61,3.61,0:2
01-05-2016,Espanyol,Sevilla,Espanyol,1.94,3.66,3.97,1.94,1:0
01-05-2016,Ath Bilbao,Celta Vigo,Ath Bilbao,1.90,3.66,4.13,1.90,2:1
30-04-2016,Granada CF,Las Palmas,Granada CF,1.60,4.12,5.81,1.60,3:2
30-04-2016,Betis,Barcelona,Barcelona,24.12,10.43,1.11,1.11,0:2
30-04-2016,Atl. Madrid,Rayo Vallecano,Atl. Madrid,1.34,5.34,9.50,1.34,1:0
30-04-2016,Real Sociedad,Real Madrid,Real Madrid,4.86,4.09,1.70,1.70,0:1
29-04-2016,Gijon,Eibar,Gijon,1.63,3.99,5.65,1.63,2:0
25-04-2016,Celta Vigo,Granada CF,Celta Vigo,1.60,4.20,5.70,1.60,2:1
24-04-2016,Villarreal,Real Sociedad,,1.77,3.70,4.80,3.70,0:0
24-04-2016,Getafe,Valencia,,3.12,3.59,2.26,3.59,2:2
24-04-2016,Sevilla,Betis,Sevilla,1.48,4.65,6.64,1.48,2:0
24-04-2016,Levante,Ath Bilbao,,3.44,3.55,2.13,3.55,2:2
23-04-2016,Eibar,Dep. La Coruna,,2.31,3.33,3.24,3.33,1:1
23-04-2016,Barcelona,Gijon,Barcelona,1.04,21.32,41.93,1.04,6:0
23-04-2016,Atl. Madrid,Malaga,Atl. Madrid,1.28,5.49,13.05,1.28,1:0
23-04-2016,Rayo Vallecano,Real Madrid,Real Madrid,7.97,6.05,1.34,1.34,2:3
22-04-2016,Las Palmas,Espanyol,Las Palmas,2.36,3.31,3.19,2.36,4:0
21-04-2016,Granada CF,Levante,Granada CF,2.19,3.32,3.54,2.19,5:1
21-04-2016,Real Sociedad,Getafe,Getafe,1.69,3.97,5.09,5.09,1:2
20-04-2016,Real Madrid,Villarreal,Real Madrid,1.24,7.11,11.34,1.24,3:0
20-04-2016,Ath Bilbao,Atl. Madrid,Atl. Madrid,4.45,3.32,1.95,1.95,0:1
20-04-2016,Gijon,Sevilla,Gijon,2.76,3.48,2.56,2.76,2:1
20-04-2016,Malaga,Rayo Vallecano,,2.02,3.64,3.75,3.64,1:1
20-04-2016,Valencia,Eibar,Valencia,1.64,4.12,5.43,1.64,4:0
20-04-2016,Dep. La Coruna,Barcelona,Barcelona,13.65,7.60,1.20,1.20,0:8
19-04-2016,Betis,Las Palmas,Betis,2.06,3.51,3.72,2.06,1:0
19-04-2016,Espanyol,Celta Vigo,,2.54,3.38,2.86,3.38,1:1
17-04-2016,Barcelona,Valencia,Valencia,1.13,10.27,19.18,19.18,1:2
17-04-2016,Atl. Madrid,Granada CF,Atl. Madrid,1.27,5.62,14.07,1.27,3:0
17-04-2016,Rayo Vallecano,Villarreal,Rayo Vallecano,2.61,3.48,2.72,2.61,2:1
17-04-2016,Sevilla,Dep. La Coruna,,1.48,4.69,6.68,4.69,1:1
17-04-2016,Malaga,Ath Bilbao,Ath Bilbao,2.33,3.15,3.43,3.43,0:1
16-04-2016,Celta Vigo,Betis,,1.55,4.35,6.14,4.35,1:1
16-04-2016,Eibar,Real Sociedad,Eibar,2.84,3.25,2.79,2.84,2:1
16-04-2016,Las Palmas,Gijon,,1.91,3.56,4.24,3.56,1:1
16-04-2016,Getafe,Real Madrid,Real Madrid,13.53,7.12,1.21,1.21,1:5
15-04-2016,Levante,Espanyol,Levante,2.33,3.34,3.20,2.33,2:1
11-04-2016,Dep. La Coruna,Las Palmas,Las Palmas,2.05,3.41,3.84,3.84,1:3
10-04-2016,Ath Bilbao,Rayo Vallecano,Ath Bilbao,1.55,4.53,5.76,1.55,1:0
10-04-2016,Villarreal,Getafe,Villarreal,1.51,4.29,6.91,1.51,2:0
10-04-2016,Valencia,Sevilla,Valencia,2.31,3.57,3.06,2.31,2:1
10-04-2016,Gijon,Celta Vigo,Celta Vigo,2.83,3.39,2.55,2.55,0:1
09-04-2016,Betis,Levante,Betis,1.87,3.59,4.36,1.87,1:0
09-04-2016,Real Sociedad,Barcelona,Real Sociedad,5.50,4.40,1.64,5.50,1:0
09-04-2016,Espanyol,Atl. Madrid,Atl. Madrid,5.33,3.52,1.76,1.76,1:3
09-04-2016,Real Madrid,Eibar,Real Madrid,1.19,7.85,14.58,1.19,4:0
08-04-2016,Granada CF,Malaga,,2.28,3.26,3.36,3.26,0:0
04-04-2016,Levante,Gijon,,2.16,3.38,3.52,3.38,0:0
03-04-2016,Sevilla,Real Sociedad,Real Sociedad,1.58,4.34,5.55,5.55,1:2
03-04-2016,Eibar,Villarreal,Villarreal,3.04,3.20,2.49,2.49,1:2
03-04-2016,Malaga,Espanyol,,1.88,3.48,4.52,3.48,1:1
03-04-2016,Ath Bilbao,Granada CF,,1.42,4.59,8.31,4.59,1:1
02-04-2016,Celta Vigo,Dep. La Coruna,,1.75,3.83,4.81,3.83,1:1
02-04-2016,Barcelona,Real Madrid,Real Madrid,1.54,4.96,5.45,5.45,1:2
02-04-2016,Las Palmas,Valencia,Las Palmas,2.41,3.33,3.06,2.41,2:1
02-04-2016,Atl. Madrid,Betis,Atl. Madrid,1.33,5.05,10.89,1.33,5:1
01-04-2016,Rayo Vallecano,Getafe,Rayo Vallecano,1.96,3.64,3.89,1.96,2:0
20-03-2016,Real Madrid,Sevilla,Real Madrid,1.34,5.98,8.07,1.34,4:0
20-03-2016,Valencia,Celta Vigo,Celta Vigo,2.18,3.46,3.41,3.41,0:2
20-03-2016,Villarreal,Barcelona,,7.96,4.98,1.40,4.98,2:2
20-03-2016,Espanyol,Ath Bilbao,Espanyol,2.96,3.30,2.50,2.96,2:1
19-03-2016,Betis,Malaga,Malaga,2.61,3.16,2.92,2.92,0:1
19-03-2016,Dep. La Coruna,Levante,Dep. La Coruna,1.94,3.53,4.12,1.94,2:1
19-03-2016,Granada CF,Rayo Vallecano,,2.10,3.56,3.52,3.56,2:2
19-03-2016,Real Sociedad,Las Palmas,Las Palmas,1.71,3.73,5.23,5.23,0:1
19-03-2016,Gijon,Atl. Madrid,Gijon,7.88,3.82,1.53,7.88,2:1
